เซลส์,ลำดับ,จำนวนรวม,ประเภท,รายชื่อ,จังหวัด,คนร่วมงาน,40,80,120,200,300,600,ผลรวมจองทั้งหมด,ร้านค้าที่จองยาง
นิว,1,1,ผู้ใช้,บริษัท แอลเอช ทรานสปอร์ต จำกัด,สมุทรปราการ,2,,,,200,,,200,1
นิว,2,2,ผู้ใช้,บริษัท อาร์เจ โลจีสติกส์ จำกัด+เอ็นพี24,สมุทรปราการ,2,,,120,,,600,720,1
นิว,3,3,ผู้ใช้,บริษัท ฟาอีฟ โลจีสติกส์ จำกัด,สมุทรปราการ,2,,,120,,,,120,1
นิว,4,4,ผู้ใช้,บริษัท เมืองน่าอยู่ จำกัด,สมุทรปราการ,2,40, ,,,,,40,1
นิว,5,5,ผู้ใช้,บริษัท ว.ลาภส่งผล โลจีสติกส์ จำกัด,สมุทรปราการ,2,,80,,,,,80,1
นิว,6,6,ผู้ใช้,บริษัท เอเบิลทรานสปอร์ต,สมุทรปราการ,2, ,80,,,,,80,1
นิว,7,7,ผู้ใช้,บริษัท สปีดดี ทรานส์เซอร์วิส จำกัด,สมุทรสาคร,1,40,,,,,,40,1
นิว,8,8,ผู้ใช้,บริษัท ส.รัตนเทพขนส่ง จำกัด,สมุทรสาคร,1, ,80,,,,,80,1
นิว,9,9,ผู้ใช้,บริษัท ไฮปั๊ม จำกัด,สมุทรสาคร,1,40,,,,,,40,1
นิว,10,10,ผู้ใช้,บริษัท วีเชน จำกัด แฟลช,สมุทรปราการ,2,,, ,,,,0,
นิว,11,11,ผู้ใช้,บริษัท เอสวีสหัสวรรษแอนด์ เซอร์วิส,สมุทรปราการ,2,,80,,,,,80,1
นิว,12,12,ผู้ใช้,หจก. จิรวัฒน์ขนส่ง,สมุทรสาคร,2,40,,,,,,40,1
อาท,1,13,ผู้ใช้,บริษัท พีเอสเค 02 ทรานสปอร์ต จำกัด,กทม.,2,,80,,,,,80,1
อาท,2,14,ผู้ใช้,บริษัท พัชรสินี 42 จำกัด,กทม.,2,,80,,,,,80,1
อาท,3,15,ผู้ใช้,บริษัท เคเอ็นเอ็น ไดนามิคทรานสปอร์ต จำกัด,กทม.,2,40,,,,,,40,1
อาท,4,16,ผู้ใช้,บจก.เมอร์เล็กซ์ทรานสปร์อต,กทม,2, ,80,,,,,80,1
อาท,5,17,ผู้ใช้,บจก.โซนิคออโตโลจิส,กทม,2,40,,,,,,40,1
อาท,6,18,ผู้ใช้,บจก.บางพลีใหญ่ขนส่ง,สมุทรปราการ,2,,,,,,,0,
ออม,1,18,ผู้ใช้,บริษัท พาราสัมพันธ์ จำกัด,ปทุมธานี,2,,80,,,,,80,1
ออม,2,19,ผู้ใช้,"ช.ทวีก่อสร้าง, ดอนเมือง",ปทุมธานี,2,,,,,300,,300,1
ออม,3,20,ผู้ใช้,หจก.พรแม่สาห์ จำกัด,ปทุมธานี,2,,80,,,,,80,1
ออม,4,21,ผู้ใช้,หจก.ส.ภัสรชัย จำกัด,ปทุมธานี,2,40,,,,,,40,1
ออม,5,22,ผู้ใช้,หจก. ช เทียนเจริญ,ปทุมธานี,2,,80,,,,,80,1
ออม,6,23,ผู้ใช้,หจก.บางไทร เคหะภัณฑ์,อยุธยา,2,40,,,,,,40,1
ออม,7,24,ผู้ใช้,บจก. เอส ที ดี ทรานสปอร์ต,ปทุมธานี,2,40,,,,,,40,1
ออม,8,25,ผู้ใช้,บริษัท สุภาณิฏฐ์ อินเตอร์ กรุ๊ป จำกัด,นนทบุรี,2,40,,,,,,40,1
ออม,9,26,ผู้ใช้,บริษัท พ.สิทธโชค จำกัด,ปทุมธานี,2,40,,,,,,40,1
ออม,10,27,ผู้ใช้,บริษัท อินทร์จำนงค์ จำกัด,นนทบุรี,2,40,,,,,,40,1
ออม,11,28,ผู้ใช้,บริษัท เฟื่องฟ้าชฎาวรรณ ขนส่ง จำกัด,ปทุมธานี,2,40,,,,,,40,1
ออม,12,29,ผู้ใช้,บริษัท ภูเก็ตศรีสุชาติขนส่ง จำกัด,ปทุมธานี,2,,80,,,,,80,1
ออม,13,30,ผู้ใช้,หจก.รักสุจริต,ปทุมธานี,2,,80,,,,,80,1
ออม,14,31,ผู้ใช้,บริษัท ธันย์แอนด์ธี ทรานสปอร์ต,ปทุมธานี,2,,,,,300,,300,1
ออม,15,32,ผู้ใช้,บริษัท ลูกอัดไทย  ลูกค้าใหม่,นนทบุรี,2,40,,,,,,40,1
ออม,16,33,ผู้ใช้,บจก. สหศักดิ์  ลูกค้าใหม่,นนทบุรี,2,40,,,,,,40,1
ออม,17,34,ผู้ใช้,บจก.ประยูรวิศ ลูกค้าใหม่,นนทบุรี,2,40,,,,,,40,1
ออม,18,35,ผู้ใช้,บจก.เอ็กซ์เซอร์เร้น,สมุทรปราการ,3,,,,,,600,600,1
ออม,19,36,ผู้ใช้,บริษัท เฉลิมภัทร ทรานสปอร์ต ,ปทุมธานี,2,40,,,,,,40,1
เม ผู้ใช้,1,37,ผู้ใช้,บริษัท แสงสหทรัพย์ จำกัด,นครปฐม,2,,,,,,600,600,1
เม ผู้ใช้,2,38,ผู้ใช้,ห้างหุ้นส่วนจำกัด เจตนาเจริญขนส่ง,นครปฐม,2,,,120, ,,,120,1
เม ผู้ใช้,3,39,ผู้ใช้,บริษัท ฉันทวิลาศ (2002) จำกัด,นครปฐม,2,40,,,,,,40,1
เม ผู้ใช้,4,40,ผู้ใช้,ห้างหุ้นส่วนจำกัด ศรีพรกิจ ทรานสปอร์ต,นนทบุรี,2,,,,200,,,200,1
เม ผู้ใช้,5,41,ผู้ใช้,บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน),นนทบุรี,2,40,,,,,,40,1
เม ผู้ใช้,6,42,ผู้ใช้,บริษัท ไทยรุ่งพัฒนาขนส่ง จำกัด,กทม,2,,80,,,,,80,1
เม ผู้ใช้,7,43,ผู้ใช้,ห้างหุ้นส่วนจำกัด กรเอก ทรานสปอร์ต (สำรอง),นครปฐม,2,40,,,,,,40,1
เม ผู้ใช้,8,44,ผู้ใช้,บริษัท เหรียญเฮง จำกัด  (สำรอง),นครปฐม,2,,80,,,,,80,1
เม ผู้ใช้,9,45,ผู้ใช้,บริษัท  แสงชัยโชค  จำกัด  (สำรอง),นครปฐม,2,40,,,,,,40,1
เม ผู้ใช้,10,46,ผู้ใช้,บริษัท  อุดมพัฒนา (สำรอง),สมุทรสาคร,2,,,,0,,,0,
เม ผู้ใช้,11,47,ผู้ใช้,บริษัท  หงส์ดำ (สำรอง),สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,12,48,ผู้ใช้,หจก.ก้าวสุวรรณ,สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,13,,ผู้ใช้,หจก.วสุโลจิสติกส์,นครปฐม,2,40, ,,,,,40,1
เม ผู้ใช้,14,,ผู้ใช้,หจก.วีระวิภา ทรานสปอร์ต,สมุทรสาคร,2,,80,,,,,80,1
เม ผู้ใช้,15,,ผู้ใช้,หจก.นารถรวี ขนส่ง,นครปฐม,2,40,,,,,,40,1
หวาน,1,49,ผู้ใช้,บจก.ภาคภูมิโลจิสติกส์,อยุธยา,2,,,120,,,,120,1
หวาน,2,50,ผู้ใช้,บจก.ยุทธนาทรานสปอร์ต,อยุธยา,2, ,80,,,,,80,1
หวาน,3,51,ผู้ใช้,หจก.ภูพลบุตรทรานสปอร์ต,อยุธยา,2,40,,,,,,40,1
หวาน,4,52,ผู้ใช้,หจก.ชมแขขนส่ง,อยุธยา,2,40,,,,,,40,1
หวาน,5,53,ผู้ใช้,บจก.วินทีม,อยุธยา,2,40,,,,,,40,1
หวาน,6,54,ผู้ใช้,บจก.ตวงพรขนส่ง,อยุธยา,2,40,,,,,,40,1
หวาน,8,55,ผู้ใช้,บจก.สมยศ,สระบุรี,2,40,,,,,,40,1
หวาน,9,56,ผู้ใช้,บจก.นิติยาขนส่ง,สระบุรี,2,,80,,,,,80,1
หวาน,10,57,ผู้ใช้,บจก.ทีเอ็มทีสตีล(ลค.ใหม่),อยุธยา,2,40,,,,,,40,1
หวาน,11,58,ผู้ใช้,บจก.ธีรภัค ทรานสปอร์ต(ลค.ใหม่),สระบุรี,2,40, ,,,,,40,1
หวาน,12,59,ผู้ใช้,หจก.ทองทรานทรานสปอร์ต,สระบุรี,2,40,,,,,,40,1
หวาน,13,60,ผู้ใช้,บจก.ทรงยศท่องเที่ยว,อยุธยา,2,,80,,,,,80,1
หวาน,14,61,ผู้ใช้,หจก.นพมงคลเซอร์วิส,อยุธยา,2,,80,,,,,80,1
